<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
27,27,2014-12-19,27-039,DET,,TOR,L (-10),0,17:18,0,4,.000,0,2,.000,0,0,,0,0,0,4,2,0,1,1,0,0.6,-13
28,28,2014-12-21,27-041,DET,@,BRK,L (-5),0,19:42,2,4,.500,1,2,.500,0,0,,0,2,2,5,2,0,1,0,5,8.1,-1
29,29,2014-12-26,27-046,DET,,IND,W (+10),0,24:06,6,8,.750,1,3,.333,1,2,.500,1,0,1,8,1,0,1,2,14,15.9,-4
30,30,2014-12-28,27-048,DET,@,CLE,W (+23),0,17:11,0,4,.000,0,1,.000,0,0,,1,0,1,3,1,0,2,0,0,-1.0,+1
31,31,2014-12-30,27-050,DET,@,ORL,W (+23),0,29:39,4,8,.500,1,3,.333,2,2,1.000,0,5,5,10,1,1,2,1,11,14.8,+22
32,32,2015-01-02,27-053,DET,@,NYK,W (+16),0,23:06,2,7,.286,1,5,.200,0,0,,0,1,1,9,0,1,5,0,5,3.2,-1
33,33,2015-01-04,27-055,DET,,SAC,W (+19),0,17:27,3,6,.500,0,1,.000,0,0,,0,3,3,5,0,0,2,0,6,5.4,+7
34,34,2015-01-06,27-057,DET,@,SAS,W (+1),0,22:22,8,18,.444,1,3,.333,2,3,.667,0,0,0,5,0,0,2,3,19,9.5,-9
35,35,2015-01-07,27-058,DET,@,DAL,W (+13),0,21:41,9,16,.563,4,5,.800,4,5,.800,0,1,1,2,1,0,2,1,26,18.3,+4
36,36,2015-01-09,27-060,DET,,ATL,L (-3),0,20:21,0,0,,0,0,,4,4,1.000,0,0,0,5,1,0,1,1,4,7.1,+2
37,37,2015-01-10,27-061,DET,,BRK,W (+5),0,18:39,2,7,.286,1,3,.333,0,0,,0,0,0,6,0,0,1,0,5,4.1,-1
38,38,2015-01-12,27-063,DET,@,TOR,W (+3),0,14:22,2,7,.286,0,0,,2,2,1.000,1,2,3,4,1,0,3,1,6,3.6,-6
39,39,2015-01-14,27-065,DET,,NOP,L (-11),0,19:10,4,5,.800,1,1,1.000,4,4,1.000,0,1,1,4,0,0,1,2,13,12.4,0
40,40,2015-01-16,27-067,DET,@,IND,W (+2),0,14:09,0,1,.000,0,0,,0,0,,0,4,4,4,0,0,4,1,0,-1.1,-18
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
41,41,2015-01-17,27-068,DET,,PHI,W (+18),0,25:42,3,6,.500,0,3,.000,0,0,,0,3,3,10,2,0,2,2,6,10.1,+13
42,42,2015-01-19,27-070,DET,@,ATL,L (-11),0,18:08,4,5,.800,0,1,.000,0,0,,0,0,0,3,0,0,3,1,8,4.8,-5
