Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,pname
46,42,2015-01-28,22-253,UTA,,LAC,L (-5),1,35:46,8,16,.500,0,1,.000,5,7,.714,3,8,11,1,0,1,0,3,21,16.9,0,kanteen01
47,43,2015-01-30,22-255,UTA,,GSW,W (+10),1,18:40,2,7,.286,0,0,,1,2,.500,2,8,10,0,0,0,3,1,5,0.9,+15,kanteen01
48,44,2015-02-03,22-259,UTA,@,POR,L (-1),1,22:54,6,12,.500,0,0,,4,5,.800,4,3,7,0,0,0,1,0,16,12.3,-3,kanteen01
49,45,2015-02-04,22-260,UTA,,MEM,L (-10),1,31:10,8,18,.444,0,1,.000,0,0,,3,7,10,1,0,0,1,3,16,9.3,+5,kanteen01
50,46,2015-02-06,22-262,UTA,@,PHO,L (-7),1,24:14,3,8,.375,0,0,,0,2,.000,1,5,6,0,1,0,3,2,6,0.2,0,kanteen01
51,47,2015-02-07,22-263,UTA,,SAC,W (+12),1,32:58,7,16,.438,0,1,.000,3,4,.750,5,8,13,1,1,0,3,2,17,12.0,+8,kanteen01
52,48,2015-02-09,22-265,UTA,@,NOP,W (+4),1,28:29,6,12,.500,0,0,,2,2,1.000,5,6,11,0,1,0,1,3,14,12.1,-16,kanteen01
53,49,2015-02-11,22-267,UTA,@,DAL,L (-5),1,18:17,3,7,.429,0,0,,0,1,.000,3,7,10,0,0,0,2,1,6,3.7,+2,kanteen01
54,50,2015-02-21,22-277,OKC,@,CHO,W (+7),1,32:26,4,9,.444,0,0,,2,6,.333,5,8,13,2,0,0,0,5,10,9.0,+8,kanteen01
55,51,2015-02-22,22-278,OKC,,DEN,W (+25),1,26:22,8,12,.667,0,0,,4,6,.667,5,7,12,3,1,0,3,4,20,18.1,+36,kanteen01
56,52,2015-02-24,22-280,OKC,,IND,W (+13),1,23:27,6,10,.600,0,0,,3,4,.750,2,3,5,0,0,0,0,2,15,11.5,-2,kanteen01
57,53,2015-02-26,22-282,OKC,@,PHO,L (-4),1,36:31,6,11,.545,0,0,,6,6,1.000,3,3,6,1,0,1,3,3,18,12.9,+5,kanteen01
59,54,2015-03-01,22-285,OKC,@,LAL,W (+7),1,28:52,6,10,.600,0,0,,4,6,.667,4,11,15,5,0,0,3,1,16,16.8,+12,kanteen01
60,55,2015-03-04,22-288,OKC,,PHI,W (+5),1,21:22,4,8,.500,0,0,,0,0,,2,3,5,0,1,0,1,3,8,5.1,-22,kanteen01
61,56,2015-03-05,22-289,OKC,@,CHI,L (-3),1,30:28,2,6,.333,0,0,,2,2,1.000,3,3,6,0,1,1,0,4,6,5.7,-2,kanteen01
62,57,2015-03-08,22-292,OKC,,TOR,W (+4),1,28:33,9,14,.643,0,0,,3,5,.600,6,6,12,4,0,1,1,4,21,20.9,+4,kanteen01
63,58,2015-03-11,22-295,OKC,,LAC,L (-12),1,26:01,6,12,.500,0,0,,6,9,.667,5,0,5,0,0,0,2,4,18,10.7,-28,kanteen01
64,59,2015-03-13,22-297,OKC,,MIN,W (+14),1,32:49,10,19,.526,0,0,,3,3,1.000,9,6,15,1,2,0,4,2,23,19.7,+19,kanteen01
65,60,2015-03-15,22-299,OKC,,CHI,W (+9),1,37:01,7,16,.438,0,0,,4,4,1.000,9,9,18,0,2,0,4,4,18,15.0,+14,kanteen01
66,61,2015-03-16,22-300,OKC,@,DAL,L (-4),1,37:23,7,12,.583,0,0,,5,5,1.000,4,9,13,0,0,1,2,3,19,16.4,-10,kanteen01
67,62,2015-03-18,22-302,OKC,,BOS,W (+4),1,30:39,10,13,.769,0,0,,2,2,1.000,7,3,10,2,0,1,2,3,22,21.6,+1,kanteen01
69,63,2015-03-22,22-306,OKC,,MIA,W (+18),1,34:25,12,20,.600,0,0,,3,3,1.000,6,6,12,0,1,0,2,2,27,22.0,+10,kanteen01
70,64,2015-03-24,22-308,OKC,,LAL,W (+10),1,27:33,10,15,.667,0,0,,5,5,1.000,7,9,16,4,1,0,5,1,25,24.5,+11,kanteen01
71,65,2015-03-25,22-309,OKC,@,SAS,L (-39),1,22:17,7,14,.500,0,0,,2,2,1.000,3,7,10,0,0,0,2,1,16,10.8,-26,kanteen01
72,66,2015-03-28,22-312,OKC,@,UTA,L (-5),1,34:29,7,13,.538,0,0,,4,6,.667,4,7,11,1,0,2,4,5,18,11.9,-7,kanteen01
73,67,2015-03-29,22-313,OKC,@,PHO,W (+12),1,29:47,5,10,.500,0,0,,1,1,1.000,3,6,9,0,0,1,1,2,11,8.8,+9,kanteen01
74,68,2015-04-01,22-316,OKC,,DAL,L (-4),1,38:22,9,13,.692,1,1,1.000,11,12,.917,5,11,16,1,0,1,0,1,30,31.9,-7,kanteen01
75,69,2015-04-03,22-318,OKC,@,MEM,L (-8),1,33:55,11,19,.579,0,0,,2,4,.500,5,12,17,1,1,1,3,4,24,19.2,-5,kanteen01
76,70,2015-04-05,22-320,OKC,,HOU,L (-3),1,37:45,9,19,.474,0,0,,3,5,.600,10,7,17,0,0,1,5,2,21,14.5,+6,kanteen01
